iter	Passed	Remaining
0	2	2045
1	3	1894
2	6	2222
3	9	2273
4	10	2176
5	12	2063
6	13	1980
7	15	1921
8	17	1901
9	19	1930
10	21	1967
11	24	1982
12	26	1982
13	27	1965
14	29	1949
15	31	1946
16	33	1938
17	35	1960
18	38	1962
19	39	1944
20	41	1936
21	43	1939
22	45	1937
23	47	1933
24	49	1924
25	51	1936
26	53	1943
27	56	1951
28	58	1952
29	60	1947
30	62	1940
31	64	1939
32	66	1939
33	68	1944
34	70	1949
35	73	1966
36	76	1980
37	78	1985
38	80	1982
39	82	1986
40	85	1993
41	87	2000
42	90	2003
43	91	1998
44	93	1992
45	96	1991
46	98	1989
47	100	1988
48	102	1992
49	105	1996
50	107	1991
51	108	1986
52	110	1982
53	112	1978
54	114	1963
55	116	1966
56	118	1964
57	121	1969
58	123	1972
59	125	1972
60	128	1973
61	130	1970
62	132	1972
63	134	1972
64	137	1971
65	139	1971
66	141	1969
67	143	1967
68	145	1963
69	147	1961
70	149	1960
71	151	1957
72	153	1953
73	155	1950
74	158	1955
75	160	1952
76	162	1950
77	164	1947
78	166	1944
79	169	1946
80	171	1946
81	173	1943
82	175	1939
83	177	1933
84	179	1934
85	181	1932
86	183	1929
87	185	1926
88	187	1919
89	189	1915
90	191	1911
91	193	1907
92	195	1904
93	197	1905
94	199	1903
95	201	1901
96	204	1900
97	206	1897
98	208	1893
99	210	1890
100	211	1885
101	214	1888
102	216	1887
103	219	1888
104	221	1886
105	223	1883
106	225	1881
107	227	1878
108	230	1880
109	232	1879
110	234	1878
111	236	1878
112	238	1875
113	241	1873
114	243	1870
115	245	1867
116	247	1866
117	249	1866
118	251	1862
119	253	1859
120	255	1856
121	257	1853
122	259	1850
123	261	1848
124	264	1848
125	266	1847
126	268	1846
127	270	1842
128	272	1839
129	274	1836
130	276	1834
131	278	1832
132	280	1831
133	283	1829
134	285	1828
135	287	1825
136	289	1821
137	291	1818
138	293	1817
139	296	1819
140	298	1816
141	300	1813
142	302	1810
143	304	1807
144	306	1804
145	307	1801
146	309	1798
147	312	1796
148	314	1793
149	316	1793
150	318	1791
151	320	1789
152	323	1788
153	325	1785
154	327	1784
155	329	1783
156	331	1781
157	333	1778
158	335	1775
159	337	1771
160	339	1768
161	341	1765
162	343	1762
163	345	1759
164	347	1757
165	349	1754
166	351	1750
167	352	1747
168	354	1744
169	356	1741
170	358	1738
171	360	1735
172	362	1734
173	364	1728
174	366	1727
175	368	1724
176	370	1721
177	371	1717
178	373	1714
179	376	1713
180	378	1710
181	380	1708
182	381	1703
183	383	1699
184	385	1697
185	387	1694
186	388	1691
187	390	1687
188	393	1687
189	394	1682
190	396	1680
191	398	1678
192	400	1676
193	402	1673
194	404	1670
195	406	1667
196	408	1664
197	410	1662
198	412	1661
199	414	1659
200	417	1657
201	418	1654
202	420	1651
203	422	1648
204	424	1646
205	426	1644
206	428	1643
207	431	1641
208	432	1638
209	434	1635
210	436	1633
211	438	1630
212	440	1627
213	442	1627
214	445	1626
215	447	1624
216	449	1621
217	451	1619
218	453	1616
219	455	1614
220	457	1611
221	459	1610
222	461	1608
223	463	1606
224	465	1603
225	467	1602
226	469	1599
227	471	1596
228	473	1594
229	476	1593
230	478	1591
231	480	1589
232	482	1587
233	484	1584
234	485	1581
235	487	1579
236	489	1577
237	492	1576
238	494	1574
239	496	1572
240	498	1570
241	500	1567
242	502	1565
243	504	1562
244	506	1560
245	508	1558
246	510	1557
247	513	1555
248	515	1553
249	516	1550
250	518	1547
251	520	1545
252	522	1543
253	524	1541
254	526	1539
255	528	1537
256	530	1534
257	532	1532
258	534	1529
259	536	1527
260	538	1524
261	540	1523
262	542	1521
263	544	1519
264	546	1516
265	548	1513
266	550	1511
267	552	1508
268	554	1506
269	556	1504
270	558	1502
271	560	1500
272	562	1498
273	564	1496
274	566	1493
275	568	1491
276	570	1488
277	573	1488
278	575	1487
279	577	1485
280	579	1483
281	581	1480
282	583	1478
283	585	1475
284	587	1473
285	589	1471
286	591	1470
287	593	1468
288	595	1466
289	597	1463
290	599	1461
291	601	1458
292	603	1456
293	605	1454
294	608	1453
295	610	1452
296	612	1449
297	614	1447
298	616	1445
299	618	1443
300	621	1442
301	623	1441
302	625	1439
303	627	1436
304	629	1434
305	631	1432
306	633	1429
307	635	1426
308	637	1426
309	640	1424
310	642	1422
311	643	1420
312	645	1417
313	647	1415
314	649	1412
315	651	1409
316	653	1407
317	655	1405
318	657	1403
319	659	1401
320	661	1399
321	663	1396
322	665	1394
323	667	1391
324	668	1389
325	670	1387
326	672	1384
327	675	1383
328	676	1380
329	678	1378
330	680	1375
331	682	1372
332	684	1370
333	686	1369
334	689	1367
335	690	1365
336	693	1363
337	695	1361
338	696	1358
339	698	1356
340	700	1353
341	702	1351
342	704	1350
343	707	1348
344	709	1346
345	711	1344
346	713	1342
347	715	1340
348	717	1337
349	719	1335
350	721	1333
351	723	1331
352	725	1329
353	727	1327
354	728	1324
355	730	1321
356	732	1319
357	734	1317
358	736	1315
359	738	1313
360	741	1311
361	742	1309
362	744	1307
363	746	1304
364	748	1302
365	750	1299
366	752	1297
367	754	1295
368	756	1293
369	758	1291
370	760	1288
371	762	1286
372	763	1284
373	766	1282
374	768	1281
375	770	1279
376	772	1277
377	774	1274
378	776	1272
379	778	1270
380	780	1267
381	782	1265
382	784	1263
383	786	1262
384	788	1260
385	790	1257
386	792	1255
387	794	1253
388	796	1250
389	798	1248
390	800	1246
391	802	1244
392	804	1242
393	806	1241
394	808	1238
395	811	1236
396	812	1234
397	814	1232
398	817	1230
399	819	1229
400	821	1227
401	823	1225
402	825	1223
403	827	1221
404	829	1218
405	831	1217
406	834	1215
407	836	1213
408	838	1211
409	840	1209
410	842	1206
411	844	1204
412	845	1202
413	847	1200
414	849	1198
415	852	1196
416	854	1194
417	856	1192
418	858	1189
419	859	1187
420	861	1185
421	864	1183
422	866	1181
423	868	1179
424	871	1178
425	873	1176
426	875	1174
427	877	1172
428	879	1170
429	883	1170
430	885	1169
431	888	1168
432	890	1166
433	892	1163
434	894	1161
